pop,density,unemp,union,crime,publicTrans,housePrice,insurance,gas,tax,young,adult,married,college,female,immigrant,meanincome,income25,income50,income75,minwage,hospital,school,amenity,entry
954829.38634497,0.200715237052109,0.0603934464959604,1.0006265146251,0.0766577685729958,41,130.427255934767,2379.30821799634,3.35122383216594,0.0642588114259867,0.257325914790416,0.552111280586195,0.702514741895399,0.466577812179821,0.507894381065307,0.156131871877025,84007.7736600327,23921.4341333855,54498.9990916327,119048.093944886,9.2886124704211,88.4169532268661,118.527412141797,86.4978637681251,0
6246996.78834456,0.693033657524561,0.0389657207288484,7.59908351461971e-05,0.054035437971965,52,93.3807915218903,2885.29330555985,2.29534188816427,0.0694722204883089,0.212850436847871,0.568913392295808,0.646010082306462,0.35142474648037,0.515281374123014,0.148708932739,90420.4716879678,26895.9719764806,57878.1318276394,125870.528310889,7.02704393782371,98.3171881074005,98.1306061228111,90.413369698844,1
7584195.4784937,0.549281183837008,0.0353316849557238,0.00578771887670085,0.0608141815581536,62,143.636609446056,1728.8424822627,2.94884779887328,0.0823516906268275,0.145611313832082,0.514741436473761,0.589255922325919,0.23972926428895,0.480778658349626,0.1935439590721,70002.0627317082,18848.5732779404,33797.1708423878,81811.7039326059,7.27541358830035,116.505928267105,99.6854416123988,100.804133828759,1
4011272.89229062,0.6559014347727,0.0527205866730479,0.0607993978747571,0.0618502780018014,49,162.837441327785,2182.42000769541,2.83057573085326,0.0631121936865239,0.234548350523983,0.44485455228007,0.39623112739651,0.42545828861317,0.507445304681714,0.0935377019013105,79155.5287858441,22252.4642110775,52399.5648114273,111108.616410618,7.18611946605103,100.208817700455,124.014293692163,89.7224097825927,0
3593040.45387678,0.501318419322168,0.0617288541183023,0.990466329246348,0.0828852791468275,71,139.278790001713,2865.18478153883,4.97418117674441,0.0792392982265522,0.20857241405518,0.527898694005696,0.493971774612353,0.396234779311941,0.455132546882276,0.137458546045265,78570.4908855752,20994.5930577623,49875.3191478399,106592.993673573,8.84267170182001,94.9509810658925,111.794857540691,100.13468662516,0
2972396.82479454,0.321250758755061,0.0463037869390047,0.664926095928801,0.0537966591448911,26,128.872242585551,3265.30582116798,1.65608521791745,0.0610504003939934,0.0706074100113681,0.541483309174475,0.548255575556723,0.350239379784362,0.437598306939957,0.13591231732588,78813.7744239053,21446.2466458718,43672.3982736132,96140.1872113209,8.1647182441826,112.429098991671,103.564865938447,98.059401407248,0
1401298.86945568,0.647517125134872,0.0914470225796526,0.000788716037664362,0.0842144335594593,80,8.18981001927629,3494.38697748118,3.42341864278035,0.0747960890836532,0.15903868189641,0.452224005242363,0.563926297141323,0.382075310179113,0.550145699498521,0.140954764745957,50058.2913387928,13227.5848664805,29472.9799675435,70621.4249138339,6.15274676312519,93.6694697416866,106.15031352424,76.2141584888128,0
8512932.62142277,0.739098232049842,0.0597352592808366,0.999503889807147,0.0215428577789329,73,26.4015762732782,4079.91218248783,5.37184484102559,0.066762228002778,0.217732334006497,0.454115389137117,0.587176152784848,0.258004667862082,0.532446247588835,0.211631475794973,48481.4279001006,11549.6692127971,26703.428631133,61747.5871858454,4.72941842066537,97.0252364046341,79.9737594484141,103.276864422114,0
3528569.60716112,0.727789120652425,0.049205447595892,0.000349415460998108,0.0162794319093793,52,20.9559046511045,2906.38885915572,2.81906428804572,0.0804552153420432,0.179477184524594,0.443243103077673,0.454305536042034,0.278170528177038,0.521438375907507,0.210084503980918,59239.5296414616,12821.8781935115,30525.3647441238,75033.9761431355,5.57221191513361e-05,99.6761201495924,93.755741355896,93.5177479944549,0
7216497.63307819,0.308738371123338,0.0447201196838573,0.180595307829116,0.0523510836953624,58,52.6115637340363,1867.10008043586,3.56488765060087,0.0833711655099046,0.254457968950451,0.394975029382792,0.469899274578734,0.296535964686633,0.485220732989829,0.197883598040281,71372.0322316801,19998.9944229096,37209.0568826768,86049.6136789637,8.73752723785711,101.323068178062,91.5993655193931,92.3048172413753,0
7301968.80725033,0.926601772316783,0.0421452486766433,0.892055513867431,0.0344197309342238,94,147.857404427566,1806.46127426098,4.7258193483927,0.0709135305730988,0.159643607068001,0.566461134965176,0.453830704482072,0.278759605180175,0.428534389868748,0.182561360418778,79172.4938504445,24980.8901032006,49631.0400270353,86178.1270572709,9.37562454063647,103.249881324135,99.8916948670881,113.016111803925,1
9040917.51037958,0.905460640828672,0.0623005801492818,0.999705734732639,0.080060955021404,93,21.1817584359175,5135.85105478372,2.46566130265629,0.0693798729709473,0.170073825744984,0.537948939650938,0.494378776432121,0.329406842679999,0.450332297048186,0.185099815778447,66092.5399866863,19323.1849224108,39721.6204090293,87226.3614250678,6.94338575067291,114.607466640169,98.5477396531501,113.507266892227,0
8495302.60920274,0.940399212783284,0.0470849568764683,0.996192855309507,0.0416874488129117,89,74.607688717296,3044.95750761566,3.73102111519137,0.0943472352896431,0.157417440333838,0.462018050647943,0.743667179839436,0.226233818033272,0.529552735368672,0.175073718777931,57732.54651092,17417.5202541559,30107.2686001296,66969.3053067111,8.86332122639663,92.5888694683384,105.608410137705,108.199360756995,0
